x,y,parameter
95.0,429.0,1.691042716241E9
93.0,422.0,1.691042716247E9
93.0,418.0,1.691042716255E9
91.0,413.0,1.691042716264E9
90.0,408.0,1.69104271627E9
89.0,402.0,1.691042716278E9
88.0,395.0,1.691042716285E9
86.0,387.0,1.691042716292E9
86.0,379.0,1.6910427163E9
86.0,364.0,1.691042716315E9
86.0,357.0,1.691042716322E9
87.0,349.0,1.69104271633E9
89.0,343.0,1.6910427163370001E9
91.0,337.0,1.691042716345E9
94.0,332.0,1.691042716352E9
97.0,328.0,1.691042716359E9
98.0,325.0,1.691042716367E9
103.0,320.0,1.691042716374E9
109.0,315.0,1.6910427163830001E9
115.0,311.0,1.691042716389E9
121.0,307.0,1.6910427163960001E9
129.0,304.0,1.691042716405E9
149.0,296.0,1.69104271642E9
172.0,289.0,1.691042716435E9
181.0,287.0,1.6910427164420002E9
190.0,285.0,1.6910427164490001E9
206.0,283.0,1.6910427164650002E9
217.0,281.0,1.6910427164720001E9
241.0,278.0,1.691042716487E9
261.0,276.0,1.691042716502E9
272.0,276.0,1.6910427165080001E9
281.0,276.0,1.691042716516E9
292.0,276.0,1.691042716525E9
301.0,276.0,1.6910427165310001E9
309.0,276.0,1.691042716538E9
315.0,276.0,1.691042716546E9
324.0,279.0,1.691042716561E9
328.0,281.0,1.691042716568E9
332.0,283.0,1.691042716575E9
334.0,285.0,1.691042716585E9
337.0,289.0,1.6910427165900002E9
341.0,294.0,1.691042716598E9
345.0,300.0,1.691042716606E9
350.0,311.0,1.691042716621E9
354.0,319.0,1.691042716636E9
355.0,325.0,1.69104271665E9
358.0,333.0,1.691042716665E9
359.0,337.0,1.691042716673E9
361.0,343.0,1.69104271668E9
361.0,349.0,1.691042716687E9
363.0,356.0,1.691042716696E9
363.0,359.0,1.6910427167020001E9
364.0,362.0,1.691042716709E9
365.0,367.0,1.691042716716E9
366.0,372.0,1.691042716724E9
366.0,374.0,1.691042716731E9
366.0,379.0,1.691042716738E9
366.0,381.0,1.691042716746E9
